     PLAYER_ID  RANK                    PLAYER TEAM  GP   MIN   FGM   FGA  FG_PCT  FG3M  FG3A  FG3_PCT  FTM  FTA  FT_PCT  OREB  DREB   REB   AST  STL  BLK  TOV   PTS   EFF
72      202683    73               Enes Kanter  NYK  10  25.7   6.2  11.5   0.539   0.1   0.4    0.250  2.0  2.3   0.870   3.5   7.0  10.5   2.0  0.5  0.4  2.1  14.5  20.2
76      202357    76           Nemanja Bjelica  SAC  10  26.6   5.5   9.8   0.561   2.1   3.9    0.538  1.3  1.9   0.684   1.1   4.7   5.8   2.8  1.2  0.8  1.3  14.4  18.8
74      203109    75               Jae Crowder  UTA   9  31.0   4.7  10.1   0.462   2.4   6.2    0.393  2.7  3.6   0.750   1.1   4.7   5.8   1.7  0.7  0.4  0.4  14.4  16.2
75      201580    76              JaVale McGee  LAL  10  26.2   6.2  10.1   0.614   0.1   0.2    0.500  1.9  2.9   0.655   3.0   4.5   7.5   1.3  0.9  3.4  1.8  14.4  20.8
77      203145    78             Kent Bazemore  ATL   9  28.6   5.4  11.2   0.485   1.6   4.8    0.326  1.9  2.8   0.680   0.9   3.6   4.4   2.2  1.6  0.9  2.4  14.3  14.3
78      203953    79             Jabari Parker  CHI  10  29.6   5.8  12.9   0.450   1.1   3.4    0.324  1.6  2.4   0.667   1.2   4.9   6.1   1.8  0.7  0.4  2.5  14.3  12.9
79      203915    79         Spencer Dinwiddie  BKN  10  27.0   5.2  11.1   0.468   2.3   5.4    0.426  1.6  2.1   0.762   0.4   1.7   2.1   4.0  0.3  0.4  2.2  14.3  12.5
80     1626162    81           Kelly Oubre Jr.  WAS   9  27.6   4.7  11.0   0.424   1.7   5.0    0.333  3.0  3.6   0.844   0.9   4.1   5.0   0.6  0.6  0.8  1.7  14.0  12.3
81     1627732    82               Ben Simmons  PHI  10  30.6   5.3  10.6   0.500   0.0   0.0    0.000  3.3  5.3   0.623   2.6   6.7   9.3   7.5  1.7  0.5  3.5  13.9  22.1
82      202685    82         Jonas Valanciunas  TOR  10  18.7   5.3   9.7   0.546   0.4   1.3    0.308  2.9  3.3   0.879   2.1   5.2   7.3   1.2  0.6  1.0  1.0  13.9  18.2
